,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,MedianAge,MedianHouseholdIncome,MeanHouseholdIncome,PercentBachDegHghr
28,Los Angeles,Bell Gardens,38,4.3,5.2,26.5,27.4,39,4.3,4.2,26.5,22.6,39,4.3,4.0,26.5,22.9,39,4.3,3.9,26.5,20.7,40,4.3,3.7,26.5,19.5,40,4.3,3.5,26.5,19.9,40,4.3,3.1,26.5,18.4,42072,21003,21069,27.3,26.8,27.8,4.31,4.4,3901,14308,25358,5121,3394,2201,50.10,34.00,42072,40762,20824,377,476,261,13,29,72,12,37,40,58,37,5,7,25,0,18787,41648,9655,5298,17053,11315,6835,2686,2807,1066,35.1,55909.0,81416.0,29.7
29,Los Angeles,Bellflower,35,4.0,3.2,21.5,17.1,36,4.0,2.8,21.5,14.9,36,4.0,2.4,21.5,13.7,36,4.0,2.7,21.5,16.6,36,4.0,2.7,21.5,14.9,36,4.0,2.5,21.5,13.2,38,4.0,2.6,21.5,11.5,76616,37203,39413,31.9,30.8,33.1,3.21,3.67,5841,21749,51035,13864,9821,6617,51.40,28.40,76616,73040,32337,10760,731,8865,416,483,4563,195,826,453,1929,615,38,45,400,132,19732,75877,23651,10992,27230,18123,9286,3184,4718,1836,35.1,55909.0,81416.0,29.7
30,San Mateo,Belmont,40,5.3,4.0,20.2,15.6,40,5.3,3.8,20.2,15.1,40,5.3,3.4,20.2,14.1,40,5.3,3.3,20.2,15.8,40,5.3,2.7,20.2,11.2,40,5.3,2.5,20.2,10.4,40,5.3,2.7,20.2,11.4,25835,12612,13223,40.9,40.1,41.7,2.39,2.95,1702,5395,19687,7017,5315,3843,51.20,20.90,25835,24263,17455,423,72,5151,979,2231,782,461,204,107,387,198,30,19,13,136,964,25321,10575,5630,6705,5127,1043,218,1368,606,39.3,88202.0,126129.0,44.4
31,Solano,Benicia,41,10.5,8.1,23.3,17.1,41,10.5,7.5,23.3,15.5,43,10.5,8.2,23.3,17.9,43,10.5,8.8,23.3,21.3,43,10.5,7.6,23.3,17.4,44,10.5,7.8,23.3,17.7,44,10.5,9.8,23.3,22.3,26997,12987,14010,42.9,41.8,43.9,2.52,3.02,1286,6317,19751,7792,5421,3367,51.90,23.40,26997,25199,19568,1510,135,2989,242,498,1666,152,142,82,207,102,19,41,13,29,895,26971,10686,5668,8132,5790,1178,421,1307,686,37.1,67177.0,82971.0,24.3
32,Alameda,Berkeley,42,6.5,5.1,11.2,8.4,42,6.5,4.5,11.2,7.5,42,6.5,3.7,11.2,6.2,42,6.5,3.2,11.2,6.9,42,6.5,3.3,11.2,6.2,43,6.5,3.5,11.2,6.6,43,6.5,2.9,11.2,5.2,112580,55031,57549,31.0,30.2,32.0,2.17,2.81,4136,13872,83502,25929,19516,13176,51.10,12.30,112580,105586,66996,11241,479,21690,2712,9641,1640,1752,2392,1110,2443,186,30,30,43,83,4994,99731,46029,13569,16722,12535,3792,991,19619,3892,36.8,72112.0,96982.0,41.8
33,San Bernardino,Big Bear Lake,35,26.2,14.0,30.7,15.0,35,26.2,13.5,30.7,14.2,35,26.2,13.0,30.7,15.6,35,26.2,15.2,30.7,18.2,35,26.2,13.9,30.7,17.1,35,26.2,15.2,30.7,19.5,35,26.2,15.2,30.7,20.5,5019,2567,2452,46.1,44.1,48.0,2.28,2.83,249,993,3829,1790,1408,1025,48.90,19.80,5019,4853,4204,22,48,78,19,13,7,11,15,0,13,10,3,6,0,1,491,4993,2187,1007,1164,904,245,69,390,183,31.9,54090.0,69091.0,18.7
34,Humboldt,Blue Lake,34,19.1,5.0,421.3,101.3,34,19.1,4.0,421.3,73.8,34,19.1,3.6,421.3,74.5,34,19.1,3.2,421.3,96.9,37,19.1,2.5,421.3,48.3,39,19.1,3.4,421.3,53.8,39,19.1,2.6,421.3,16.7,1253,613,640,38.3,37.0,40.3,2.31,2.79,70,248,965,336,224,127,51.10,19.80,1253,1195,1094,5,55,13,1,1,1,3,5,1,1,4,3,0,1,0,24,1253,542,215,285,214,55,25,156,57,37.5,41426.0,56127.0,27.5
35,Riverside,Blythe,37,4.3,3.3,29.4,20.5,37,4.3,2.3,29.4,13.4,37,4.3,2.1,29.4,12.8,37,4.3,2.9,29.4,20.5,37,4.3,2.6,29.4,16.9,37,4.3,3.4,29.4,21.8,37,4.3,2.8,29.4,15.2,20817,14273,6544,38.0,39.3,32.5,2.87,3.41,1109,4157,15990,3710,2635,1794,31.40,20.00,20817,20161,12396,3126,243,319,41,21,150,13,16,28,50,32,16,3,9,4,4045,12972,4513,1995,4614,3522,1093,544,757,420,33.9,56529.0,73752.0,20.5
36,Los Angeles,Bradbury,22,21.8,21.9,167.3,155.7,23,25.7,22.1,176.9,152.4,23,25.7,23.0,176.9,165.8,24,25.7,13.5,176.9,108.9,0,,,,,0,,,,,0,,,,,1048,508,540,49.1,48.6,49.4,2.96,3.27,36,173,837,392,300,209,51.50,16.50,1048,1013,652,22,4,276,48,136,29,11,24,8,20,0,0,0,0,0,59,1048,354,231,277,152,111,15,75,20,35.1,55909.0,81416.0,29.7
37,Orange,Brea,41,11.5,10.1,10.1,8.1,41,11.5,9.1,10.1,7.7,43,11.5,8.8,10.1,7.9,43,11.5,8.8,10.1,8.2,43,11.5,9.2,10.1,8.3,43,11.5,8.8,10.1,8.1,43,11.5,10.3,10.1,9.3,39282,19155,20127,38.7,37.3,40.0,2.75,3.23,2156,9057,28669,9618,7076,4950,51.20,23.10,39282,37551,26363,549,190,7144,801,1371,1031,423,2592,373,553,69,22,10,11,26,3236,39213,14266,8132,12309,8154,2660,792,1846,669,36.4,75422.0,101134.0,36.8
