,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,MedianAge,MedianHouseholdIncome,MeanHouseholdIncome,PercentBachDegHghr
87,San Mateo,Daly City,40,2.6,3.3,16.8,20.8,41,2.6,3.1,16.8,19.7,41,2.6,2.8,16.8,17.9,41,2.6,2.8,16.8,18.4,41,2.6,2.8,16.8,16.5,41,2.6,2.9,16.8,17.0,41,2.6,2.9,16.8,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,88202.0,126129.0,44.4
88,Orange,Dana Point,36,7.3,6.2,27.5,22.1,37,7.3,5.4,27.5,18.7,37,7.3,4.7,27.5,18.0,37,7.3,5.1,27.5,19.6,37,7.3,4.5,27.5,16.7,37,7.3,4.1,27.5,15.2,37,7.3,4.3,27.5,15.7,33351,16520,16831,44.8,43.5,46.0,2.33,2.85,1573,5959,26360,10989,8237,5682,50.50,17.90,33351,32277,28701,294,229,1064,106,242,228,187,79,97,125,37,19,7,4,7,1952,33110,14182,6902,7893,5403,1460,417,2673,917,36.4,75422.0,101134.0,36.8
89,Contra Costa,Danville,48,4.3,4.7,16.3,17.1,48,4.3,3.8,16.3,13.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,78756.0,106018.0,39.0
90,Yolo,Davis,40,3.8,3.6,16.6,15.0,42,3.8,3.3,16.6,14.1,42,3.8,3.0,16.6,13.5,42,3.8,3.1,16.6,15.5,42,3.8,2.6,16.6,12.1,42,3.8,2.7,16.6,12.2,42,3.8,2.7,16.6,12.3,65622,31178,34444,25.2,25.1,25.4,2.55,2.97,2444,10760,45546,11475,8207,5597,52.50,16.40,65622,62050,42571,1528,339,14355,1631,6395,1033,953,1560,1185,1598,136,22,23,19,72,3121,63522,24873,9343,12603,10244,1597,325,15106,1505,30.7,55918.0,77162.0,37.9
91,San Diego,Del Mar,42,20.3,17.1,24.6,18.2,42,20.3,12.5,24.6,13.2,42,20.3,10.5,24.6,11.6,42,20.3,12.1,24.6,13.2,42,20.3,12.2,24.6,12.8,42,20.3,11.3,24.6,13.4,42,20.3,12.6,24.6,10.6,4161,2102,2059,48.6,47.9,49.3,2.02,2.57,115,564,3511,1630,1283,866,49.50,13.60,4161,4076,3912,10,8,118,18,33,22,23,10,2,10,3,0,0,2,1,25,4161,2064,927,712,543,84,13,374,143,34.8,62962.0,84889.0,34.6
92,Del Norte,Del Norte Solid Waste Management Authority,32,4.0,4.0,14.8,14.1,32,4.0,3.7,14.8,12.9,33,4.0,3.4,14.8,12.2,33,4.0,3.5,14.8,13.8,34,4.0,3.0,14.8,11.1,36,4.0,3.6,14.8,13.0,38,4.0,3.4,14.8,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,37909.0,53185.0,14.0
93,Monterey,Del Rey Oaks,46,5.7,4.6,24.0,20.3,46,5.7,4.1,24.0,18.6,46,5.7,3.7,24.0,13.7,46,5.7,3.8,24.0,12.0,46,5.7,4.0,24.0,12.7,46,5.7,4.0,24.0,13.1,46,5.7,3.8,24.0,8.8,1624,774,850,46.2,43.5,48.1,2.32,2.86,80,284,1294,573,443,308,52.30,17.50,1624,1538,1326,16,12,128,9,25,27,24,22,9,12,4,0,0,0,4,52,1624,701,361,366,254,95,24,101,37,33.0,59168.0,79378.0,23.0
94,Kern,Delano,41,4.0,3.2,11.9,9.3,41,4.0,2.9,11.9,8.4,41,4.0,2.6,11.9,7.4,41,4.0,2.8,11.9,11.2,41,4.0,2.8,11.9,9.6,41,4.0,3.0,11.9,9.5,41,4.0,4.3,11.9,11.7,53041,31752,21289,28.5,28.9,27.4,4.11,4.31,4223,15089,34821,6797,4808,3247,40.10,28.40,53041,51090,19304,4191,501,6757,324,34,6280,21,28,7,63,30,8,9,1,12,20307,42144,10260,5968,17227,12216,6439,2618,2250,894,30.8,48552.0,64677.0,15.0
95,Riverside,Desert Hot Springs,37,3.8,3.1,31.4,32.5,37,3.8,2.8,31.4,31.3,37,3.8,2.4,31.4,28.1,38,3.8,2.8,31.4,35.5,39,3.8,3.6,31.4,41.0,38,3.8,3.8,31.4,43.7,37,3.8,3.4,31.4,35.1,25938,12991,12947,31.0,30.3,31.7,2.98,3.59,2333,8064,16642,4792,3518,2488,49.90,31.10,25938,24645,15053,2133,357,675,38,61,333,36,47,42,118,84,21,15,32,16,6343,25820,8650,3468,8950,6899,2559,1004,2193,1049,33.9,56529.0,73752.0,20.5
96,Los Angeles,Diamond Bar,34,4.6,3.6,17.3,12.5,34,4.6,3.3,17.3,12.1,34,4.6,2.9,17.3,11.8,34,4.6,2.9,17.3,11.7,34,4.6,2.6,17.3,9.8,34,4.6,2.9,17.3,11.2,34,4.6,3.3,17.3,12.5,55544,27094,28450,41.0,39.5,42.3,3.1,3.38,2389,11895,41247,14603,10155,6486,51.20,21.40,55544,53387,18434,2288,178,29144,2086,14602,3277,870,5782,717,1810,106,28,18,44,16,3237,55415,17880,11792,17963,10437,5596,1282,2184,567,35.1,55909.0,81416.0,29.7
97,Solano,Dixon,40,9.9,5.7,22.1,13.7,41,9.9,4.5,22.1,11.2,41,9.9,4.3,22.1,12.4,41,9.9,3.9,22.1,14.0,41,9.9,3.7,22.1,13.1,41,9.9,3.8,22.1,13.8,41,9.9,4.1,22.1,13.7,18351,9072,9279,33.3,31.9,34.4,3.13,3.47,1322,5349,12173,3442,2410,1552,50.60,29.10,18351,17336,13023,562,184,671,82,109,295,57,28,34,66,58,11,16,16,15,2838,18350,5856,3550,6623,4763,1402,503,919,353,37.1,67177.0,82971.0,24.3
98,Los Angeles,Downey,30,6.2,6.2,22.0,19.7,30,6.2,5.4,22.0,17.0,30,6.2,4.4,22.0,14.5,30,6.2,4.1,22.0,14.4,30,6.2,3.7,22.0,12.1,30,6.2,4.2,22.0,13.5,35,6.2,3.4,22.0,10.6,111772,54174,57598,33.3,31.9,34.7,3.27,3.68,7814,29972,76358,22164,16346,11579,51.50,26.80,111772,107226,63255,4329,820,7804,657,586,2470,322,2508,367,894,221,46,33,83,59,30797,111089,33936,17405,39678,25021,13787,4417,6283,2582,35.1,55909.0,81416.0,29.7
99,Alameda,Dublin,41,5.9,4.6,14.7,11.6,41,5.9,4.0,14.7,10.8,41,5.9,3.2,14.7,9.4,41,5.9,3.0,14.7,8.9,41,5.9,3.2,14.7,9.0,41,5.9,2.9,14.7,7.4,41,5.9,3.1,14.7,8.3,46036,23983,22053,35.3,34.7,35.9,2.7,3.19,3404,10297,34213,7636,5209,3357,47.90,22.40,46036,43293,23634,4347,246,12321,3116,3633,2562,376,940,720,974,287,84,66,53,84,2458,40262,14913,8615,12350,9685,2305,495,2079,917,36.8,72112.0,96982.0,41.8
100,San Mateo,East Palo Alto,41,8.5,2.7,119.4,33.2,41,8.5,2.6,119.4,32.5,41,8.5,2.6,119.4,33.7,41,8.5,3.0,119.4,27.5,41,8.5,2.1,119.4,16.7,41,8.5,2.4,119.4,18.3,41,8.5,2.4,119.4,18.9,28155,14268,13887,28.1,27.8,28.4,4.03,4.38,2616,8976,17784,3666,2537,1675,49.30,31.90,28155,26797,8104,4704,120,1057,240,323,247,66,62,78,41,2118,18,1,344,1755,10694,28001,6940,3144,9711,6651,5014,1851,3192,588,39.3,88202.0,126129.0,44.4
101,San Diego,El Cajon,40,7.4,6.2,18.8,14.5,40,7.4,5.9,18.8,13.8,40,7.4,5.1,18.8,12.6,40,7.4,5.2,18.8,14.6,40,7.4,5.0,18.8,13.3,40,7.4,4.8,18.8,13.3,40,7.4,4.9,18.8,13.5,99478,48632,50846,33.7,32.5,34.8,2.84,3.37,7596,25571,69166,20976,15459,10930,51.10,25.70,99478,92646,68897,6306,835,3561,119,453,1740,193,88,412,556,495,72,230,120,73,12552,96996,34134,15607,32018,22362,8332,2633,6905,2535,34.8,62962.0,84889.0,34.6
102,El Dorado,El Dorado-Unincorporated,43,5.3,4.1,23.2,18.0,43,5.3,4.4,23.2,19.5,43,5.3,3.8,23.2,17.9,43,5.3,3.7,23.2,21.0,43,5.3,3.3,23.2,18.1,44,5.3,3.3,23.2,17.5,44,5.3,3.4,23.2,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,69297.0,90247.0,32.0
103,Los Angeles,El Monte,35,6.8,6.0,29.5,25.3,35,6.8,5.1,29.5,21.2,35,6.8,4.4,29.5,19.8,35,6.8,5.1,29.5,23.8,35,6.8,4.3,29.5,19.6,36,6.8,4.4,29.5,19.7,36,6.8,4.2,29.5,19.2,113475,57003,56472,31.6,30.6,32.8,4.04,4.23,8993,32234,75646,21049,15132,10597,49.80,28.40,113475,109850,44058,870,1083,28503,184,15447,1384,210,199,8433,2646,131,39,21,37,34,35205,112395,27814,15087,39221,24485,21009,6625,9264,2222,35.1,55909.0,81416.0,29.7
104,Los Angeles,El Segundo,32,44.2,17.2,15.1,4.8,32,44.2,17.1,15.1,4.7,32,44.2,13.8,15.1,4.0,32,44.2,14.6,15.1,4.3,32,44.2,26.1,15.1,7.4,31,44.2,16.3,15.1,4.5,31,44.2,16.5,15.1,4.8,16654,8304,8350,39.2,38.4,39.8,2.34,3.02,831,3719,12444,3557,2509,1678,50.10,22.30,16654,15697,12997,337,68,1458,275,304,255,229,96,53,246,38,21,5,4,8,799,16578,7085,3050,4621,3481,613,164,1209,408,35.1,55909.0,81416.0,29.7
105,Sacramento,Elk Grove,41,5.9,4.1,27.5,20.2,41,5.9,3.5,27.5,17.8,41,5.9,2.6,27.5,14.1,41,5.9,3.0,27.5,18.9,41,5.9,2.9,27.5,17.2,42,5.9,2.5,27.5,14.2,42,5.9,2.6,27.5,15.2,153015,74095,78920,34.3,32.7,35.6,3.18,3.54,11060,46128,100543,27758,19286,12744,51.60,30.10,153015,140914,70478,17172,965,40261,4968,8975,11769,1346,658,7024,5521,1807,77,171,99,1460,10231,152346,47927,29339,55068,41292,13472,4027,6540,2773,35.1,55064.0,72200.0,28.0
106,Alameda,Emeryville,40,16.2,12.1,6.7,5.2,40,16.2,8.5,6.7,3.9,40,16.2,9.8,6.7,4.6,40,16.2,7.4,6.7,3.8,40,16.2,11.3,6.7,6.0,41,16.2,9.7,6.7,4.9,41,16.2,9.6,6.7,4.7,10080,4983,5097,35.0,34.8,35.2,1.76,2.61,424,1031,8771,2044,1504,1006,50.60,10.20,10080,9437,4490,1764,44,2775,424,967,399,159,415,120,291,16,6,4,1,5,348,10007,5694,1240,1240,908,470,97,1363,600,36.8,72112.0,96982.0,41.8
107,San Diego,Encinitas,44,7.5,6.4,17.9,15.7,44,7.5,5.9,17.9,14.2,44,7.5,5.5,17.9,14.1,44,7.5,6.0,17.9,16.5,45,7.5,6.1,17.9,15.3,45,7.5,5.6,17.9,13.8,45,7.5,6.0,17.9,15.6,59518,29436,30082,41.5,40.3,42.9,2.45,2.98,3208,12285,45681,16837,11808,7643,50.50,20.60,59518,57482,51067,361,301,2323,351,600,353,447,218,136,218,91,39,21,2,29,3339,58990,24082,12113,15238,11469,2440,640,5117,1528,34.8,62962.0,84889.0,34.6
108,Fresno,Escalon,29,11.8,5.6,40.4,18.1,29,11.8,4.6,40.4,14.5,29,11.8,4.8,40.4,16.7,30,11.8,4.7,40.4,23.2,30,11.8,5.7,40.4,25.4,35,11.8,5.2,40.4,22.1,35,11.8,5.0,40.4,19.3,7132,3494,3638,36.0,34.5,37.8,2.87,3.28,480,1933,4892,1686,1229,890,51.00,27.10,7132,6874,5823,30,80,96,23,14,21,7,5,0,26,22,6,4,4,8,823,7117,2476,1484,2450,1729,432,182,275,143,30.9,45563.0,63079.0,19.6
109,San Diego,Escondido,40,5.9,5.2,16.5,14.3,40,5.9,5.3,16.5,14.9,40,5.9,5.3,16.5,16.5,40,5.9,5.6,16.5,19.5,40,5.9,5.5,16.5,17.7,40,5.9,5.4,16.5,17.5,40,5.9,5.5,16.5,17.8,143911,71296,72615,32.5,31.4,33.7,3.12,3.57,11638,39778,97668,28828,21103,15084,50.50,27.60,143911,137530,86876,3585,1472,8740,479,746,3807,381,382,1755,1190,350,91,112,95,52,36507,141792,45484,23535,45646,32876,15088,5452,12039,3464,34.8,62962.0,84889.0,34.6
110,Humboldt,Eureka,38,6.5,7.7,9.5,10.7,39,6.5,6.8,9.5,9.4,40,6.5,6.4,9.5,9.1,40,6.5,5.9,9.5,10.0,40,6.5,5.7,9.5,9.1,40,6.5,5.7,9.5,9.5,40,6.5,5.8,9.5,9.5,27191,13989,13202,36.2,35.4,37.5,2.27,2.93,1648,5431,20563,6822,4882,3215,48.60,20.00,27191,25600,21565,514,1011,1153,68,113,84,68,47,51,722,176,34,4,27,111,1181,25308,11150,3554,5994,4488,1488,565,3122,1307,37.5,41426.0,56127.0,27.5
111,Solano,Fairfield,45,8.5,5.9,22.7,15.8,45,8.5,5.4,22.7,15.2,45,8.5,5.1,22.7,15.6,44,8.5,4.8,22.7,15.4,45,8.5,4.4,22.7,13.4,46,8.5,4.4,22.7,13.5,47,8.5,4.1,22.7,12.6,105321,51851,53470,33.7,32.2,35.2,2.98,3.42,7789,28499,71888,21459,15411,10775,50.80,27.10,105321,96012,48407,16586,869,15700,1846,1125,9590,616,446,632,1445,1149,119,539,194,297,13301,102832,34484,18461,34205,24345,9845,3491,5837,2289,37.1,67177.0,82971.0,24.3
112,Humboldt,Ferndale,35,3.4,4.2,13.4,14.4,35,3.4,3.5,13.4,11.9,35,3.4,4.0,13.4,12.9,35,3.4,3.1,13.4,10.0,35,3.4,4.1,13.4,12.8,35,3.4,4.5,13.4,15.4,36,3.4,4.0,13.4,11.9,1371,648,723,47.2,44.8,49.4,2.24,2.84,62,283,1053,528,420,308,52.70,20.60,1371,1343,1281,1,22,20,0,4,6,2,2,5,1,2,0,0,0,2,17,1371,611,294,355,269,41,10,70,44,37.5,41426.0,56127.0,27.5
113,Ventura,Fillmore,41,4.0,4.1,37.3,30.5,41,4.9,3.6,37.3,25.1,41,4.9,3.6,37.3,24.2,41,4.9,4.2,37.3,31.4,41,4.9,3.9,37.3,25.6,41,4.9,3.9,37.3,26.4,41,4.9,3.7,37.3,22.2,15002,7494,7508,31.9,30.9,33.0,3.57,3.92,1269,4534,9723,2906,2157,1551,50.00,30.20,15002,14207,8581,75,180,155,22,21,49,20,14,6,23,12,5,0,0,7,5204,14836,4156,2483,5508,3640,1841,793,848,293,36.6,76544.0,98869.0,31.4
114,Fresno,Firebaugh,36,5.1,5.4,37.3,37.5,36,5.1,4.4,37.3,29.8,36,5.1,3.7,37.3,25.7,36,5.1,3.9,37.3,27.4,36,5.1,4.3,37.3,23.9,37,5.1,4.4,37.3,23.3,37,5.1,3.7,37.3,15.1,7549,3890,3659,26.4,25.5,27.4,3.93,4.17,733,2716,4411,1055,730,492,48.50,36.00,7549,7312,4715,70,116,40,22,9,2,1,2,0,4,0,0,0,0,0,2371,7536,1920,1179,3262,2328,880,368,295,151,30.9,45563.0,63079.0,19.6
115,Sacramento,Folsom,44,7.0,5.0,13.1,9.3,45,7.0,4.5,13.1,8.5,45,7.0,3.8,13.1,7.8,46,7.0,3.9,13.1,8.3,45,7.0,3.7,13.1,7.8,46,7.0,3.6,13.1,7.2,47,7.0,3.6,13.1,7.2,72203,38481,33722,37.6,36.8,38.9,2.61,3.13,4431,17570,52464,14295,10136,6909,46.70,24.30,72203,69185,53627,4140,427,9000,3801,1624,1128,347,734,463,903,173,37,32,3,101,1818,65243,24951,14399,20797,16827,2242,584,2854,1287,35.1,55064.0,72200.0,28.0
116,San Bernardino,Fontana,37,6.0,5.9,22.5,22.9,37,6.0,5.2,22.5,20.6,42,6.0,3.9,22.5,16.4,41,6.0,3.6,22.5,17.3,42,6.0,3.6,22.5,15.7,42,6.0,3.5,22.5,15.5,42,6.0,3.8,22.5,16.5,196069,97410,98659,28.7,27.7,29.7,3.98,4.18,16823,64521,120628,25981,17260,11084,50.30,32.90,196069,186453,92978,19574,1957,12948,1294,1479,6047,270,1022,1095,1741,547,77,50,195,225,58449,195625,49116,30245,75976,51608,28687,11274,11601,3764,31.9,54090.0,69091.0,18.7
117,Mendocino,Fort Bragg,29,5.7,4.9,10.3,8.4,28,5.7,4.6,10.3,8.0,28,5.7,4.4,10.3,8.3,28,5.7,3.9,10.3,8.5,32,5.7,3.8,10.3,7.6,34,5.7,3.5,10.3,6.9,33,5.7,4.8,10.3,9.3,7273,3559,3714,37.4,35.9,39.2,2.45,3.19,535,1793,5233,1967,1451,993,51.10,24.70,7273,6937,5439,51,160,108,6,26,23,12,9,6,26,14,6,5,2,1,1165,7014,2863,1072,1982,1558,476,174,621,270,41.8,43469.0,57774.0,22.0
118,Humboldt,Fortuna,46,3.1,4.3,11.6,15.4,46,3.1,4.0,11.6,14.0,46,4.3,3.9,15.5,14.1,43,4.3,3.9,15.5,16.0,43,4.3,3.8,15.5,14.4,43,4.3,3.6,15.5,13.7,44,4.3,3.5,15.5,12.9,11926,5750,6176,38.1,35.6,40.7,2.49,3.06,852,2937,8482,3536,2752,2066,51.80,24.60,11926,11383,9686,73,444,106,4,28,29,13,8,4,20,9,5,0,4,0,1065,11665,4688,2135,3390,2602,647,269,805,401,37.5,41426.0,56127.0,27.5
119,San Mateo,Foster City,42,3.7,3.9,7.1,6.7,42,3.7,3.6,7.1,6.0,42,3.7,3.3,7.1,5.6,43,3.7,3.0,7.1,5.6,43,3.7,2.7,7.1,4.5,43,3.7,2.5,7.1,4.1,43,3.7,2.6,7.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,88202.0,126129.0,44.4
120,Orange,Fountain Valley,42,6.9,5.2,12.9,9.5,42,6.9,4.3,12.9,7.9,42,6.9,4.1,12.9,8.2,42,6.9,3.7,12.9,8.0,42,6.9,3.4,12.9,6.9,42,6.9,4.2,12.9,8.6,42,6.9,4.8,12.9,9.9,55313,26935,28378,42.6,41.2,43.9,2.94,3.34,2557,11643,41498,17029,13289,9716,51.30,21.00,55313,52998,31225,510,229,18418,544,2367,838,1312,894,11431,1032,171,38,27,73,33,2445,54876,18648,11142,16592,10141,5497,1324,2997,754,36.4,75422.0,101134.0,36.8
121,Fresno,Fowler,32,19.0,9.2,50.0,23.8,32,19.0,6.1,50.0,15.4,32,19.0,4.0,50.0,10.3,33,19.0,5.1,50.0,13.7,33,19.0,4.3,50.0,11.1,33,19.0,4.1,50.0,10.2,33,19.0,4.7,50.0,12.9,5570,2778,2792,31.6,30.7,32.6,3.21,3.68,443,1662,3622,1035,769,556,50.10,29.80,5570,5292,2634,104,136,610,419,23,24,103,2,1,38,8,1,0,0,7,1800,5523,1723,932,2081,1423,545,207,242,128,30.9,45563.0,63079.0,19.6
122,Alameda,Fremont,38,6.6,4.8,16.1,10.9,38,6.6,4.2,16.1,9.7,42,6.6,3.8,16.1,9.5,43,6.6,3.1,16.1,8.3,43,6.6,3.6,16.1,9.5,43,6.6,3.6,16.1,9.2,43,6.6,3.6,16.1,8.9,214089,106441,107648,36.8,36.3,37.3,2.99,3.36,15261,53216,154204,44591,31817,21809,50.30,24.90,214089,201505,70320,7103,976,108332,38711,38118,14285,1716,3059,5249,7194,1169,195,238,166,570,13605,212438,71004,45121,66677,48567,19463,4004,10173,3223,36.8,72112.0,96982.0,41.8
123,Fresno,Fresno,43,6.6,6.5,15.5,15.2,43,6.6,3.4,15.5,8.0,43,6.6,3.4,15.5,8.5,43,6.6,3.7,15.5,10.3,43,6.6,3.8,15.5,9.9,43,6.6,3.6,15.5,9.3,43,6.6,4.1,15.5,10.6,494665,243124,251541,29.3,28.4,30.3,3.07,3.62,43911,148823,318187,90613,66030,46101,50.90,30.10,494665,470152,245306,40960,8525,62528,8814,3747,6359,2401,1106,2093,38008,849,164,152,234,299,111984,485798,158349,69284,172155,125842,50667,19564,35343,14231,30.9,45563.0,63079.0,19.6
124,Fresno,Fresno-Unincorporated,45,5.0,6.3,14.2,15.9,45,5.0,8.6,14.2,21.9,45,5.0,6.3,14.2,16.4,45,5.0,5.7,14.2,17.8,46,5.0,5.1,14.2,13.5,46,5.0,4.8,14.2,12.4,46,5.0,4.7,14.2,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,45563.0,63079.0,19.6
125,Orange,Fullerton,34,7.9,6.4,19.5,14.7,34,7.9,5.6,19.5,12.7,35,7.9,4.8,19.5,11.4,35,7.9,4.6,19.5,11.9,35,7.9,4.4,19.5,10.6,35,7.9,4.3,19.5,10.7,35,7.9,4.4,19.5,10.9,135161,66409,68752,34.8,33.6,35.9,2.91,3.43,7975,31558,95659,28971,21728,15852,50.90,23.30,135161,129373,72845,3138,842,30788,2494,4079,3380,1260,15544,1945,2086,321,77,40,132,72,21439,132084,45391,23240,40240,26868,12424,3778,10789,2656,36.4,75422.0,101134.0,36.8
126,Sacramento,Galt,33,4.1,3.3,25.5,20.8,33,4.1,2.7,25.5,17.6,33,4.1,2.5,25.5,17.2,34,4.1,2.5,25.5,18.9,34,4.1,2.9,25.5,20.4,34,4.1,2.5,25.5,17.2,34,4.1,2.6,25.5,18.5,23647,11665,11982,32.4,31.3,33.5,3.24,3.62,1771,7347,15169,4449,3276,2280,50.70,31.10,23647,22187,15639,430,361,815,134,80,324,65,31,31,150,108,19,15,25,49,4834,23498,7262,4431,8654,6317,2062,880,1089,463,35.1,55064.0,72200.0,28.0
127,Orange,Garden Grove,39,6.6,5.8,26.1,21.2,39,6.6,5.3,26.1,19.5,39,6.6,5.2,26.1,20.7,39,6.6,5.4,26.1,23.3,39,6.6,5.8,26.1,22.6,39,6.6,5.8,26.1,22.5,39,6.6,6.3,26.1,24.6,170883,85289,85594,35.6,34.9,36.4,3.67,3.94,11420,43763,119355,35756,26015,18526,50.10,25.60,170883,164764,68149,2155,983,63451,676,2203,3177,895,5717,47331,3452,1110,134,140,617,219,28916,168942,46037,26659,54567,34087,28052,8135,13627,2294,36.4,75422.0,101134.0,36.8
128,Los Angeles,Gardena,37,8.0,9.1,22.6,25.3,37,8.0,9.1,22.6,24.6,37,8.0,7.8,22.6,22.6,37,8.0,8.5,22.6,24.2,37,8.0,9.1,22.6,23.8,39,8.0,6.7,22.6,18.0,39,8.0,7.8,22.6,19.0,58829,28292,30537,37.9,36.5,39.3,2.82,3.39,3718,13410,43103,15083,11479,8324,51.90,22.80,58829,56160,14498,14352,348,15400,193,1060,2346,5726,3457,1624,994,426,122,28,191,85,11136,58035,20558,8782,17907,10901,7203,2217,3585,1189,35.1,55909.0,81416.0,29.7
129,Santa Clara,Gilroy,44,6.2,6.0,16.1,15.7,44,6.2,5.0,16.1,13.7,44,6.2,4.5,16.1,13.8,44,6.2,4.1,16.1,13.1,44,6.2,4.3,16.1,12.8,44,6.2,4.3,16.1,12.8,44,6.2,4.5,16.1,13.5,48821,24229,24592,32.4,31.7,33.1,3.39,3.69,4144,14983,31763,8607,6084,4098,50.40,30.70,48821,46328,28674,942,831,3448,418,524,1216,316,190,464,320,111,24,18,20,49,12322,48015,14175,8160,16913,12415,5433,2016,3334,1098,36.4,91702.0,120718.0,46.5
130,Los Angeles,Glendale,33,5.5,5.2,14.3,12.7,33,5.5,4.9,14.3,11.8,33,5.5,4.4,14.3,11.5,33,5.5,4.4,14.3,11.7,34,5.5,4.1,14.3,10.2,34,5.5,3.9,14.3,9.4,35,5.5,3.7,14.3,8.9,191719,91387,100332,41.0,39.5,42.5,2.63,3.19,9168,35732,149150,54244,40891,29918,52.30,18.60,191719,183032,136226,2573,531,31434,1747,2439,13238,1222,10315,686,1787,122,52,31,4,35,12146,190290,72269,37486,55379,32582,16991,2780,8165,2964,35.1,55909.0,81416.0,29.7
131,Los Angeles,Glendora,30,5.4,5.6,18.1,18.1,31,5.4,4.6,18.1,14.9,31,5.4,3.8,18.1,11.2,31,5.4,3.6,18.1,11.9,31,5.4,3.5,18.1,11.7,31,5.4,3.6,18.1,12.0,31,5.4,3.8,18.1,14.1,50073,24228,25845,40.2,38.5,41.6,2.88,3.28,2506,11757,36093,13295,9850,7079,51.60,23.50,50073,47664,37582,930,345,3999,499,1074,1352,303,185,159,427,52,22,6,7,17,4756,49308,17141,9848,16252,10333,3537,1220,2530,860,35.1,55909.0,81416.0,29.7
132,Glenn,Glenn County Waste Management Regional Agency,39,4.8,3.7,19.4,13.7,40,4.8,3.8,19.4,14.0,40,4.8,3.6,19.4,13.8,40,4.8,3.8,19.4,16.1,40,4.8,3.6,19.4,13.2,41,4.8,3.7,19.4,13.2,41,4.8,4.0,19.4,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,43023.0,62856.0,14.6
133,Monterey,Gonzales,40,6.1,4.6,19.3,15.4,40,6.1,4.4,19.3,14.6,40,4.6,3.5,14.4,12.1,40,4.6,3.5,14.4,11.9,40,4.6,3.6,14.4,10.8,44,4.6,4.1,14.4,11.8,0,,,,,8187,4187,4000,27.0,26.5,27.7,4.29,4.45,838,2856,4904,1087,742,490,48.90,34.90,8187,7831,3464,81,124,190,9,9,142,12,5,2,11,14,5,1,5,3,3958,8181,1906,1256,3286,2279,1336,523,397,131,33.0,59168.0,79378.0,23.0
134,San Bernardino,Grand Terrace,26,4.9,4.9,24.8,24.1,26,4.9,4.7,24.8,23.8,25,4.9,3.4,24.8,19.1,29,4.9,3.8,24.8,24.7,29,4.9,3.6,24.8,22.9,29,4.9,3.3,24.8,21.3,29,4.9,3.6,24.8,23.8,12040,5799,6241,36.1,34.3,37.9,2.71,3.2,753,2781,8771,2954,2141,1500,51.80,23.10,12040,11413,7912,673,120,778,99,84,252,48,65,38,192,32,14,2,11,5,1898,11927,4403,2214,3616,2376,924,344,770,311,31.9,54090.0,69091.0,18.7
